,response
201,"truth_Narrative_Frame                      Potential Abuse of Power/Government Overreach
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject        Critical (implies potential for misuse of power)
truth_Topic_Focus                      Institutional (specifically concerning the int...
bluesky_Narrative_Frame                     Potential Abuse of Power/Threat to Democracy
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                     Institutional (Intelligence Agencies), Political
mastodon_Narrative_Frame                             Media Bias/Potential Abuse of Power
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                       Institutional
dtype: object"
202,"truth_Narrative_Frame                  Persecution/Authoritarianism (framed through h...
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Political/Institutional (using analogy to crit...
bluesky_Narrative_Frame                Persecution/Authoritarianism (framed through h...
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                       Highly Critical
bluesky_Topic_Focus                    Institutional/Political - Framing Trump's pote...
mastodon_Narrative_Frame                    Persecution/Cult Dynamics & Authoritarianism
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional/Political & Cultural (drawing pa...
dtype: object"
203,"truth_Narrative_Frame                  Political Competition/Establishment vs. Outsiders
truth_Main_Subject                     Donald Trump (indirectly, as a point of compar...
truth_Stance_toward_main_subject       Neutral (primarily descriptive, though implici...
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                Political Competition/Establishment vs. Outsiders
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                     Indirectly Critical/Marginalizing
bluesky_Topic_Focus                                              Institutional/Political
mastodon_Narrative_Frame               Political Competition/Establishment vs. Outsiders
mastodon_Main_Subject                  Donald Trump (indirectly, as a point of compar...
mastodon_Stance_toward_main_subject    Neutral (the post doesn't explicitly praise or...
mastodon_Topic_Focus                   Institutional (focus on the Republican primary...
dtype: object"
204,"truth_Narrative_Frame                                 Patriotism/Activism & Mobilization
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (political mobilization/grassroo...
bluesky_Narrative_Frame                       Grassroots Activism/Political Mobilization
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                            Supportive
bluesky_Topic_Focus                    Political/Institutional (focus on participatin...
mastodon_Narrative_Frame                                           Mobilization/Activism
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                   Institutional (encouraging participation in a ...
dtype: object"
205,"truth_Narrative_Frame                          Accountability/Blame & Moral Condemnation
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                       Strongly Critical
truth_Topic_Focus                       Legal & Moral (with elements of personal attack)
bluesky_Narrative_Frame                            Accountability/Responsibility & Blame
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                       Highly Critical
bluesky_Topic_Focus                    Legal/Accountability & Public Health (implying...
mastodon_Narrative_Frame                           Public Health Crisis & Accountability
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional & Legal (specifically, failures ...
dtype: object"
206,"truth_Narrative_Frame                          Personal Critique/Character Assassination
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                        Personal Attack
bluesky_Narrative_Frame                                        Personal Attack/Diagnosis
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                      Personal Attack
mastodon_Narrative_Frame                                     Political Commentary/Satire
mastodon_Main_Subject                                                      Byron Donalds
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional/Political (Qualifications for Of...
dtype: object"
207,"truth_Narrative_Frame                  Cultural/Gender Politics & Legal Justice
truth_Main_Subject                                                    Joe Biden
truth_Stance_toward_main_subject                                       Critical
truth_Topic_Focus                                              Legal & Cultural
bluesky_Narrative_Frame                          Media Bias / Misrepresentation
bluesky_Main_Subject                                       Biden Administration
bluesky_Stance_toward_main_subject                                     Critical
bluesky_Topic_Focus                                       Institutional / Legal
mastodon_Narrative_Frame                     Legal Justice & Policy Legislation
mastodon_Main_Subject                                                 Joe Biden
mastodon_Stance_toward_main_subject                                  Supportive
mastodon_Topic_Focus                                     Institutional & Policy
dtype: object"
208,"truth_Narrative_Frame                                Political Opposition/Smear Campaign
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                   Critical (and defensively supportive)
truth_Topic_Focus                      Political - specifically, a critique of Trump'...
bluesky_Narrative_Frame                     Political Comparison/Character Assassination
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Political/Cultural (specifically leveraging Cu...
mastodon_Narrative_Frame                                     Political Opposition/Attack
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Political/Institutional (specifically, the act...
dtype: object"
209,"truth_Narrative_Frame                                                         Media Bias
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically media practices an...
bluesky_Narrative_Frame                                                       Media Bias
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                       Media/Cultural
mastodon_Narrative_Frame                                                      Media Bias
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                       Institutional
dtype: object"
210,"truth_Narrative_Frame                         Economic Sanctions & Geopolitical Conflict
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject       Supportive (implied - framing the situation as...
truth_Topic_Focus                      Institutional (specifically, U.S. sanctions po...
bluesky_Narrative_Frame                                        Economic Sanctions/Impact
bluesky_Main_Subject                                                              Russia
bluesky_Stance_toward_main_subject     Neutral (reporting a factual event, though the...
bluesky_Topic_Focus                    Institutional (specifically, the financial sys...
mastodon_Narrative_Frame                                 Economic Consequences/Sanctions
mastodon_Main_Subject                        Vladimir Putin (implicitly, through Russia)
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                              Institutional/Economic
dtype: object"
211,"truth_Narrative_Frame                              Political Opposition/Character Attack
truth_Main_Subject                                                           Spencer Cox
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                              Political
bluesky_Narrative_Frame                           Political Competition/Election Results
bluesky_Main_Subject                                                         Spencer Cox
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (election process, political mes...
mastodon_Narrative_Frame                                 Institutional/Political Process
mastodon_Main_Subject                                                        Spencer Cox
mastodon_Stance_toward_main_subject                                              Neutral
mastodon_Topic_Focus                                  Institutional (Political Election)
dtype: object"
212,"truth_Narrative_Frame                              Counterfactual Nostalgia/Whataboutism
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically, foreign policy an...
bluesky_Narrative_Frame                Political Strategy/Exploitation & Historical R...
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                         Political/Legal & Historical (draft dodging)
mastodon_Narrative_Frame               Fear/Threat (specifically, potential loss of f...
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject    Critical (implies a negative action and a pote...
mastodon_Topic_Focus                   Institutional/Policy (focuses on a potential g...
dtype: object"
213,"truth_Narrative_Frame                                  Political Strategy/Prioritization
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject       Indirectly Critical (de-emphasizing focus on h...
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                      Political Blame/Accountability & Projection
bluesky_Main_Subject                                            Nancy Pelosi & Democrats
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                          Institutional/Political Strategy & Critique
mastodon_Narrative_Frame                   Character Assessment/Psychological Projection
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                   Personal Assessment/Psychological
dtype: object"
214,"truth_Narrative_Frame                               Legal Justice
truth_Main_Subject                               Donald Trump Jr.
truth_Stance_toward_main_subject                         Critical
truth_Topic_Focus                                           Legal
bluesky_Narrative_Frame                             Legal Justice
bluesky_Main_Subject                             Donald Trump Jr.
bluesky_Stance_toward_main_subject                       Critical
bluesky_Topic_Focus                                         Legal
mastodon_Narrative_Frame               Legal Justice & Corruption
mastodon_Main_Subject                            Donald Trump Jr.
mastodon_Stance_toward_main_subject                      Critical
mastodon_Topic_Focus                                        Legal
dtype: object"
216,"truth_Narrative_Frame                                         Media Bias/Dispute of Fact
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject       Neutral/Supportive (leaning towards supportive...
truth_Topic_Focus                                                    Institutional/Media
bluesky_Narrative_Frame                                  Political Dissembling/Hypocrisy
bluesky_Main_Subject                                                        Mike Johnson
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (behavior of a political leader ...
mastodon_Narrative_Frame                                               Media Bias / Spin
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject           Critical (through implication and framing)
mastodon_Topic_Focus                   Institutional (specifically, Speaker Johnson a...
dtype: object"
217,"truth_Narrative_Frame                                            Corruption & Media Bias
truth_Main_Subject                                                            Jill Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Media & Institutional (specifically media cove...
bluesky_Narrative_Frame                                                       Media Bias
bluesky_Main_Subject                                                          Jill Biden
bluesky_Stance_toward_main_subject                                            Supportive
bluesky_Topic_Focus                                                                Media
mastodon_Narrative_Frame                                   Media Bias / Political Attack
mastodon_Main_Subject                                                         Jill Biden
mastodon_Stance_toward_main_subject    Critical (through association and indirect att...
mastodon_Topic_Focus                                                   Political / Media
dtype: object"
218,"truth_Narrative_Frame                              Legal Justice/Institutional Stability
truth_Main_Subject                                                         Kamala Harris
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                                                    Legal/Institutional
bluesky_Narrative_Frame                Institutional/Legal Justice & Potential Politi...
bluesky_Main_Subject                   Kamala Harris (implicitly, through Pelosi's st...
bluesky_Stance_toward_main_subject     Supportive (of Harris as a safeguard, relayed ...
bluesky_Topic_Focus                    Legal/Institutional (specifically election pro...
mastodon_Narrative_Frame                           Institutional Stability/Legal Justice
mastodon_Main_Subject                                                      Kamala Harris
mastodon_Stance_toward_main_subject                                           Supportive
mastodon_Topic_Focus                                                 Legal/Institutional
dtype: object"
219,"truth_Narrative_Frame                                    Media Bias & Political Critique
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (media coverage) & Personal (men...
bluesky_Narrative_Frame                Media Bias / Health Concerns (framing as a med...
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject     Critical (raising concerns about mental acuity...
bluesky_Topic_Focus                    Institutional (focusing on media reporting and...
mastodon_Narrative_Frame                                                      Media Bias
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Media
dtype: object"
220,"truth_Narrative_Frame                          Legal Justice & Corruption
truth_Main_Subject                                          Rudy Giuliani
truth_Stance_toward_main_subject                                 Critical
truth_Topic_Focus                                   Legal & Institutional
bluesky_Narrative_Frame                Legal Justice/Financial Misconduct
bluesky_Main_Subject                                        Rudy Giuliani
bluesky_Stance_toward_main_subject                               Critical
bluesky_Topic_Focus                                   Legal/Institutional
mastodon_Narrative_Frame                  Financial Misconduct/Bankruptcy
mastodon_Main_Subject                                       Rudy Giuliani
mastodon_Stance_toward_main_subject                              Critical
mastodon_Topic_Focus                                      Legal/Financial
dtype: object"
221,"truth_Narrative_Frame                                               Corruption
truth_Main_Subject                                               Rudy Giuliani
truth_Stance_toward_main_subject                                      Critical
truth_Topic_Focus                                                        Legal
bluesky_Narrative_Frame                Legal Justice & Financial Mismanagement
bluesky_Main_Subject                                             Rudy Giuliani
bluesky_Stance_toward_main_subject                                    Critical
bluesky_Topic_Focus                                          Legal & Financial
mastodon_Narrative_Frame                       Financial Misconduct/Corruption
mastodon_Main_Subject                                            Rudy Giuliani
mastodon_Stance_toward_main_subject                                   Critical
mastodon_Topic_Focus                                           Legal/Financial
dtype: object"
222,"truth_Narrative_Frame                                 Legal Justice & Personal Character
truth_Main_Subject                                                       Donald J. Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                Legal & Personal Attack
bluesky_Narrative_Frame                     Character Assassination/Unfitness for Office
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                       Highly Critical
bluesky_Topic_Focus                    Personal Attack/Institutional (fitness for off...
mastodon_Narrative_Frame                           Unfitness for Office / Accountability
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Legal & Institutional (specifically, evaluatin...
dtype: object"
223,"truth_Narrative_Frame                    Legal Justice/Political Strategy
truth_Main_Subject                                           Donald Trump
truth_Stance_toward_main_subject                                 Critical
truth_Topic_Focus                                                   Legal
bluesky_Narrative_Frame                                     Legal Justice
bluesky_Main_Subject                                                Trump
bluesky_Stance_toward_main_subject                               Critical
bluesky_Topic_Focus                                                 Legal
mastodon_Narrative_Frame               Legal Justice & Political Strategy
mastodon_Main_Subject                                        Donald Trump
mastodon_Stance_toward_main_subject                              Critical
mastodon_Topic_Focus                                                Legal
dtype: object"
224,"truth_Narrative_Frame                                      Media Bias/Political Strategy
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject       Critical (implied - highlighting a dissenting ...
truth_Topic_Focus                                                Political/Institutional
bluesky_Narrative_Frame                                    Internal Conflict/Dysfunction
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                      Institutional/Campaign Strategy
mastodon_Narrative_Frame                                   Media Bias/Political Strategy
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject      Critical (indirectly, through quoting Carville)
mastodon_Topic_Focus                   Political/Institutional (focus on nomination p...
dtype: object"
225,"truth_Narrative_Frame                       Institutional Critique/Leadership Assessment
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                               Institutional Critique/Performance
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (specifically, the performance a...
mastodon_Narrative_Frame                                      Accountability/Performance
mastodon_Main_Subject                                         Donald Trump and Joe Biden
mastodon_Stance_toward_main_subject    Critical (of both, subtly framing them as lack...
mastodon_Topic_Focus                   Institutional/Political - focuses on the lack ...
dtype: object"
226,"truth_Narrative_Frame                     Accountability/Legal Justice & Political Blame
truth_Main_Subject                                              Joe Biden & Donald Trump
truth_Stance_toward_main_subject       {'Joe Biden': 'Supportive', 'Donald Trump': 'C...
truth_Topic_Focus                      Political/Institutional (specifically, actions...
bluesky_Narrative_Frame                       Accountability/Incitement & Responsibility
bluesky_Main_Subject                                                Both Biden and Trump
bluesky_Stance_toward_main_subject          {'Biden': 'Supportive', 'Trump': 'Critical'}
bluesky_Topic_Focus                    Legal/Institutional (specifically referencing ...
mastodon_Narrative_Frame                               Accountability/Incitement & Blame
mastodon_Main_Subject                                           Joe Biden & Donald Trump
mastodon_Stance_toward_Main_Subject    {'Joe Biden': 'Supportive', 'Donald Trump': 'C...
mastodon_Topic_Focus                   Legal/Political (specifically related to the J...
dtype: object"
229,"truth_Narrative_Frame                                        Persecution/Blame & Treason
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Legal & Institutional (with elements of person...
bluesky_Narrative_Frame                  Accountability/Responsibility & Political Blame
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Legal/Institutional (specifically, actions/ina...
mastodon_Narrative_Frame                 Accountability/Responsibility & Political Blame
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Legal/Institutional (specifically, Trump's act...
dtype: object"
230,"truth_Narrative_Frame                                    Persecution/Threat to Democracy
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Legal/Institutional (with elements of personal...
bluesky_Narrative_Frame                  Threat/Fearmongering & Potential Abuse of Power
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Legal/Political & Institutional (implying pote...
mastodon_Narrative_Frame               Persecution & Conspiracy (with elements of Pol...
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Legal & Political (specifically, alleging pote...
dtype: object"
231,"truth_Narrative_Frame                                  Border Security/National Security
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional/Legal (border policy, immigratio...
bluesky_Narrative_Frame                      Media Bias & Political Spin / Fact-Checking
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (specifically border security & ...
mastodon_Narrative_Frame                     Media Bias & False Claims/Misrepresentation
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                      Legal/Policy & Media Criticism
dtype: object"
232,"truth_Narrative_Frame                                       Authoritarianism/Power Abuse
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                Institutional/Political
bluesky_Narrative_Frame                             Threat of Retaliation/Abuse of Power
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Legal/Political - specifically focusing on pot...
mastodon_Narrative_Frame                           Threat/Danger & Political Retribution
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Legal & Institutional (with elements of cultur...
dtype: object"
233,"truth_Narrative_Frame                       Hope/Optimism (related to political victory)
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, electoral/politic...
bluesky_Narrative_Frame                         Political Opposition/Threat to Democracy
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (electoral process, political pa...
mastodon_Narrative_Frame                            Political Threat/Danger to Democracy
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                             Institutional/Political
dtype: object"
234,"truth_Narrative_Frame                                            Personal Anecdote/Humor
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject       Supportive (presented in a lighthearted, self-...
truth_Topic_Focus                                                               Personal
bluesky_Narrative_Frame                               Personal Attack/Emotional Response
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                      Personal Attack
mastodon_Narrative_Frame                                       Media Bias/Sensationalism
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject          Neutral/Slightly Critical (through framing)
mastodon_Topic_Focus                                                   Personal/Cultural
dtype: object"
235,"truth_Narrative_Frame                           National Security/Economic Protectionism
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                       Institutional (specifically, policy/immigration)
bluesky_Narrative_Frame                              Economic Policy/Trade & Immigration
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                 Neutral (reporting on his statements)
bluesky_Topic_Focus                    Institutional (policy proposal, government act...
mastodon_Narrative_Frame               Economic Policy/National Security (framed as a...
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject    Supportive (presenting his suggestion favorabl...
mastodon_Topic_Focus                   Institutional (policy proposal related to trad...
dtype: object"
237,"truth_Narrative_Frame                                     Accountability/Policy Critique
truth_Main_Subject                                                                 Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                                                   Policy/Institutional
bluesky_Narrative_Frame                                       Accountability/Performance
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                                 Institutional/Policy
mastodon_Narrative_Frame                  Policy/Reform & Potential Criticism (Implicit)
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject    Mixed/Unclear - Acknowledges plans but implies...
mastodon_Topic_Focus                                   Institutional (Government/Policy)
dtype: object"
238,"truth_Narrative_Frame                         Media Bias/Framing & Political Performance
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Political/Media - focuses on Trump's reaction ...
bluesky_Narrative_Frame                         Political Attack/Character Assassination
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                              Political/Institutional
mastodon_Narrative_Frame                                              Humiliation/Satire
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Political/Cultural (Satirical Commentary on Ac...
dtype: object"
239,"truth_Narrative_Frame                                Economic Pressure/National Security
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                              Institutional (foreign policy & economic)
bluesky_Narrative_Frame                                   Economic Impact/Accountability
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Legal/Economic - specifically addressing a cla...
mastodon_Narrative_Frame                                         Media Bias/False Claims
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional/Policy (specifically, foreign po...
dtype: object"
240,"truth_Narrative_Frame                               Political Risk/Potential Retribution
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Political/Institutional - focuses on potential...
bluesky_Narrative_Frame                             Media Bias/Disagreement within Elite
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject     Indirectly Critical (through association with ...
bluesky_Topic_Focus                    Institutional (specifically, a disagreement wi...
mastodon_Narrative_Frame                                     Political Risk/Consequences
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional/Political - specifically, the po...
dtype: object"
241,"truth_Narrative_Frame                  Persecution/War on Whistleblowers & Conservatives
truth_Main_Subject                                 Joe Biden (and by extension, the DOJ)
truth_Stance_toward_main_subject                                         Highly Critical
truth_Topic_Focus                      Legal (with strong cultural and political unde...
bluesky_Narrative_Frame                Persecution/Legal Justice (with strong ideolog...
bluesky_Main_Subject                                       Biden (administration/regime)
bluesky_Stance_toward_main_subject     Critical (highly negative, framing as politica...
bluesky_Topic_Focus                    Legal & Cultural (Legal action framed within a...
mastodon_Narrative_Frame                                                   Legal Justice
mastodon_Main_Subject                  Doctor (unnamed, but implicitly the one who le...
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                                               Legal
dtype: object"
242,"truth_Narrative_Frame                                                         Media Bias
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Institutional (specifically media analysis/cov...
bluesky_Narrative_Frame                                                       Media Bias
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Media/Institutional (specifically, the perceiv...
mastodon_Narrative_Frame                           Accountability/Potential Consequences
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                                             Institutional/Political
dtype: object"
243,"truth_Narrative_Frame                                Economic Policy/Energy Independence
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Institutional (specifically, Trump's energy po...
bluesky_Narrative_Frame                      Climate Change/Environmental Responsibility
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Institutional (policy) & Cultural (response to...
mastodon_Narrative_Frame                       Climate Change & Political Accountability
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Institutional & Political (with elements of en...
dtype: object"
244,"truth_Narrative_Frame                  Media Bias & Potential Corruption (through pla...
truth_Main_Subject                                                             Joe Biden
truth_Stance_toward_main_subject                                                Critical
truth_Topic_Focus                      Legal/Institutional (plagiarism, intellectual ...
bluesky_Narrative_Frame                                        Media Bias/Accountability
bluesky_Main_Subject                                                           Joe Biden
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                    Legal/Institutional (implying potential academ...
mastodon_Narrative_Frame                                              Media Bias/Scandal
mastodon_Main_Subject                                                          Joe Biden
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Legal/Institutional (allegation of plagiarism ...
dtype: object"
247,"truth_Narrative_Frame                                 Legal Justice/Lawfare & Media Bias
truth_Main_Subject                                              Donald Trump & Joe Biden
truth_Stance_toward_main_subject       {'Donald Trump': 'Supportive (implies unfair t...
truth_Topic_Focus                      Legal & Institutional (specifically, the legal...
bluesky_Narrative_Frame                          Legal Justice & International Relations
bluesky_Main_Subject                                                               Trump
bluesky_Stance_toward_main_subject         Indirectly Critical (via external commentary)
bluesky_Topic_Focus                    Legal & Institutional (specifically, the US ju...
mastodon_Narrative_Frame               Systemic Instability/Decline & Foreign Interfe...
mastodon_Main_Subject                           United States (implicitly), Donald Trump
mastodon_Stance_toward_main_subject    Critical (indirectly; highlighting perceived w...
mastodon_Topic_Focus                   Institutional (legal system), International Re...
dtype: object"
248,"truth_Narrative_Frame                  Humor/Satire (with potential undertones of pol...
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject           Mildly Critical/Mocking (through implication)
truth_Topic_Focus                      Personal/Situational (reference to a perceived...
bluesky_Narrative_Frame                                                 Media Bias/Humor
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                              Critical
bluesky_Topic_Focus                                       Personal Attack/Media Coverage
mastodon_Narrative_Frame                               Cognitive Decline/Health Concerns
mastodon_Main_Subject                                                       Donald Trump
mastodon_Stance_toward_main_subject                                             Critical
mastodon_Topic_Focus                   Personal (focus on cognitive abilities and per...
dtype: object"
250,"truth_Narrative_Frame                                Political Campaign/Rally & Outreach
truth_Main_Subject                                                          Donald Trump
truth_Stance_toward_main_subject                                              Supportive
truth_Topic_Focus                      Political/Institutional (campaign strategy, vo...
bluesky_Narrative_Frame                                   Political Strategy/Opportunity
bluesky_Main_Subject                                                        Donald Trump
bluesky_Stance_toward_main_subject                                    Neutral/Analytical
bluesky_Topic_Focus                          Institutional (Campaign Strategy & Polling)
mastodon_Narrative_Frame                                    Media Bias / Event Reporting
mastodon_Main_Subject                                                              Trump
mastodon_Stance_toward_main_subject                            Neutral/Slightly Critical
mastodon_Topic_Focus                   Institutional (Political Rally/Event) & Event ...
dtype: object"
